Year,Round,Place,Driver,Team,Result,Start_Position,Q,Sprint,P1,P2,P3
2021,1,Sakhir,HAM,Mercedes,1,2,2,0,4,3,2
2021,1,Sakhir,VER,Red Bull Racing,2,1,1,0,1,1,1
2021,1,Sakhir,BOT,Mercedes,3,3,3,0,2,5,4
2021,1,Sakhir,NOR,McLaren,4,7,7,0,3,2,16
2021,1,Sakhir,PER,Red Bull Racing,5,0,11,0,6,10,5
2021,1,Sakhir,LEC,Ferrari,6,4,4,0,5,12,11
2021,1,Sakhir,RIC,McLaren,7,6,6,0,9,6,10
2021,1,Sakhir,SAI,Ferrari,8,8,8,0,8,4,6
2021,1,Sakhir,TSU,AlphaTauri,9,13,13,0,14,7,13
2021,1,Sakhir,STR,Aston Martin,10,10,10,0,13,8,9
2021,1,Sakhir,RAI,Alfa Romeo Racing,11,14,14,0,11,16,7
2021,1,Sakhir,GIO,Alfa Romeo Racing,12,12,12,0,10,13,12
2021,1,Sakhir,OCO,Alpine,13,16,16,0,15,11,8
2021,1,Sakhir,RUS,Williams,14,15,15,0,17,17,17
2021,1,Sakhir,VET,Aston Martin,15,20,18,0,12,14,14
2021,1,Sakhir,MSC,Haas F1 Team,16,18,19,0,19,18,18
2021,1,Sakhir,GAS,AlphaTauri,17,5,5,0,7,9,3
2021,1,Sakhir,LAT,Williams,18,17,17,0,18,19,20
2021,1,Sakhir,ALO,Alpine,19,9,9,0,16,15,15
2021,1,Sakhir,MAZ,Haas F1 Team,20,19,20,0,20,20,19
2021,2,Imola,VER,Red Bull Racing,1,3,3,0,3,15,1
2021,2,Imola,HAM,Mercedes,2,1,1,0,2,3,3
2021,2,Imola,NOR,McLaren,3,7,7,0,13,8,2
2021,2,Imola,LEC,Ferrari,4,4,4,0,4,1,5
2021,2,Imola,SAI,Ferrari,5,11,11,0,6,5,8
2021,2,Imola,RIC,McLaren,6,6,6,0,10,11,13
2021,2,Imola,GAS,AlphaTauri,7,5,5,0,5,4,6
2021,2,Imola,STR,Aston Martin,8,10,10,0,8,10,12
2021,2,Imola,OCO,Alpine,9,9,9,0,17,12,10
2021,2,Imola,ALO,Alpine,10,15,15,0,7,14,9
2021,2,Imola,PER,Red Bull Racing,11,2,2,0,16,6,4
2021,2,Imola,TSU,AlphaTauri,12,20,20,0,20,7,11
2021,2,Imola,RAI,Alfa Romeo Racing,13,16,16,0,12,18,19
2021,2,Imola,GIO,Alfa Romeo Racing,14,17,17,0,15,9,18
2021,2,Imola,VET,Aston Martin,15,0,13,0,14,16,14
