Year,Round,Place,Driver,Team,Result,Start_Position,Q,Sprint,P1,P2,P3,Is_finished,Is_mechanical,Is_accident,Is_dsq,P1_missing,P2_missing,P3_missing,FastestLap,Engine,CircleLength,Quantity_of_circles,Quantity_of_drs,Quantity_of_turns,Tire_wear,Speed_of_turns,Downforce,Brake_load,Streets_or_not,Speed_of_track,PitStop_losing_time,Age,Average_pit_stop,AirTemp,TrackTemp,Humidity,Rainfall,WindSpeed,Pressure,Result_last_year,Salary,Team_financial_power,Regulation_Impact,Factorys_or_not,Strengh_of_first_partners,Driver_nationalitie,Points_before_race,Championship_position_before,teammate_points,points_ratio,points_ratio_log,avg_points_ratio,avg_last_3,avg_season
2018,1,Melbourne,ALO,McLaren,5.0,10,11,0,8.0,8.0,10.0,1,0,0,0,0,0,0,0,Renault,5.278,58,3,14,2,2,2,2,1,2,19.0,37,3.127,,,,,,,27.0,30.0,2,0.5,0,8.0,ESP,0.0,,2.0,4.99999750000125,1.7917590525615097,1.0,20.0,20.0
2018,1,Melbourne,BOT,Mercedes,8.0,15,10,0,2.0,3.0,7.0,1,0,0,0,0,0,0,0,Mercedes,5.278,58,3,14,2,2,2,2,1,2,19.0,29,2.777,,,,,,,3.0,9.5,3,0.5,1,7.0,FIN,0.0,,18.0,0.2222222098765439,0.20067068536114158,1.0,3.0,3.0
2018,1,Melbourne,ERI,Sauber,49.74,17,17,0,19.0,19.0,3.0,0,1,0,0,0,0,0,0,Ferrari,5.278,58,3,14,2,2,2,2,1,2,19.0,28,2.968,,,,,,,23.0,0.15,1,0.5,0,5.0,SWE,0.0,,0.0,1.0,0.6931471805599453,1.0,20.0,20.0
2018,1,Melbourne,GAS,Racing Bulls,46.93,20,20,0,11.0,17.0,11.0,0,1,0,0,0,0,0,0,Honda,5.278,58,3,14,2,2,2,2,1,2,19.0,22,3.003,,,,,,,,1.5,2,0.5,0,6.0,FRA,0.0,,0.0,1.0,0.6931471805599453,1.0,13.125,13.125
2018,1,Melbourne,GRO,Haas F1 Team,32.5,6,7,0,7.0,6.0,15.0,0,1,0,0,0,0,0,0,Ferrari,5.278,58,3,14,2,2,2,2,1,2,19.0,32,3.311,,,,,,,21.0,4.2,1,0.5,0,7.0,FRA,0.0,,0.0,1.0,0.6931471805599453,1.0,20.0,20.0
2018,1,Melbourne,HAM,Mercedes,2.0,1,1,0,1.0,1.0,8.0,1,0,0,0,0,0,0,0,Mercedes,5.278,58,3,14,2,2,2,2,1,2,19.0,33,2.777,,,,,,,2.0,50.0,3,0.5,1,10.0,GBR,0.0,,4.0,4.499998875000281,1.704747887693001,1.0,2.0,2.0
2018,1,Melbourne,HAR,Racing Bulls,15.0,16,16,0,18.0,16.0,12.0,1,0,0,0,0,0,0,0,Honda,5.278,58,3,14,2,2,2,2,1,2,19.0,29,3.003,,,,,,,,0.15,2,0.5,0,,NZL,0.0,,0.0,1.0,0.6931471805599453,1.0,13.125,13.125
2018,1,Melbourne,HUL,Renault,7.0,7,8,0,13.0,13.0,18.0,1,0,0,0,0,0,0,0,Renault,5.278,58,3,14,2,2,2,2,1,2,19.0,31,3.473,,,,,,,11.0,3.5,2,0.5,1,6.0,GER,0.0,,1.0,5.999994000006001,1.9459092919129461,1.0,11.0,11.0
2018,1,Melbourne,LEC,Sauber,13.0,18,18,0,20.0,20.0,16.0,1,0,0,0,0,0,0,0,Ferrari,5.278,58,3,14,2,2,2,2,1,2,19.0,21,2.968,,,,,,,,0.15,1,0.5,0,8.0,MON,0.0,,0.0,1.0,0.6931471805599453,1.0,13.125,13.125
2018,1,Melbourne,MAG,Haas F1 Team,33.45,5,6,0,17.0,9.0,17.0,0,1,0,0,0,0,0,0,Ferrari,5.278,58,3,14,2,2,2,2,1,2,19.0,26,3.311,,,,,,,26.0,4.0,1,0.5,0,7.0,DEN,0.0,,0.0,1.0,0.6931471805599453,1.0,20.0,20.0
2018,1,Melbourne,OCO,Racing Point,12.0,14,15,0,14.0,15.0,19.0,1,0,0,0,0,0,0,0,Mercedes,5.278,58,3,14,2,2,2,2,1,2,19.0,22,3.22,,,,,,,10.0,2.0,2,0.5,0,7.0,FRA,0.0,,0.0,1.0,0.6931471805599453,1.0,10.0,10.0
2018,1,Melbourne,PER,Racing Point,11.0,12,13,0,16.0,12.0,20.0,1,0,0,0,0,0,0,0,Mercedes,5.278,58,3,14,2,2,2,2,1,2,19.0,28,3.22,,,,,,,7.0,3.0,2,0.5,0,6.0,MEX,0.0,,0.0,1.0,0.6931471805599453,1.0,7.0,7.0
2018,1,Melbourne,RAI,Ferrari,3.0,2,2,0,4.0,4.0,2.0,1,0,0,0,0,0,0,0,Ferrari,5.278,58,3,14,2,2,2,2,1,2,19.0,39,2.84,,,,,,,4.0,40.0,3,0.5,1,8.0,FIN,0.0,,25.0,0.599999976000001,0.47000361424573606,1.0,4.0,4.0
2018,1,Melbourne,RIC,Red Bull Racing,4.0,8,5,0,6.0,7.0,6.0,1,0,0,0,0,0,0,1,Renault,5.278,58,3,14,2,2,2,2,1,2,19.0,29,2.552,,,,,,,24.0,6.0,3,0.5,0,6.0,AUS,0.0,,8.0,1.4999998125000236,0.9162906568741617,1.0,20.0,20.0
2018,1,Melbourne,SAI,Renault,10.0,9,9,0,9.0,11.0,5.0,1,0,0,0,0,0,0,0,Renault,5.278,58,3,14,2,2,2,2,1,2,19.0,24,3.473,,,,,,,8.0,3.0,2,0.5,1,9.0,ESP,0.0,,6.0,0.16666663888889352,0.15415065601773817,1.0,8.0,8.0
2018,1,Melbourne,SIR,Williams,49.79,19,19,0,12.0,18.0,13.0,0,1,0,0,0,0,0,0,Mercedes,5.278,58,3,14,2,2,2,2,1,2,19.0,23,3.228,,,,,,,,0.15,1,0.5,0,,RUS,0.0,,0.0,1.0,0.6931471805599453,1.0,13.125,13.125
2018,1,Melbourne,STR,Williams,14.0,13,14,0,15.0,14.0,14.0,1,0,0,0,0,0,0,0,Mercedes,5.278,58,3,14,2,2,2,2,1,2,19.0,20,3.228,,,,,,,25.0,1.8,1,0.5,0,,CAN,0.0,,0.0,1.0,0.6931471805599453,1.0,20.0,20.0
