Year,Round,Place,Driver,Team,Result,Start_Position,Q,Sprint,P1,P2,P3,Is_dsq,Is_mechanical,Is_accident,Is_finished,P1_missing,P2_missing,P3_missing,FastestLap,Engine,CircleLength,Quantity_of_circles,Quantity_of_drs,Quantity_of_turns,Tire_wear,Speed_of_turns,Downforce,Brake_load,Streets_or_not,Speed_of_track,PitStop_losing_time,Age,Average_pit_stop,AirTemp,TrackTemp,Humidity,Rainfall,WindSpeed,Pressure,Result_last_year,Salary,Team_financial_power,Regulation_Impact,Factorys_or_not,Strengh_of_first_partners,Driver_nationalitie,Points_before_race,Championship_position_before,teammate_points,points_ratio,points_ratio_log,avg_points_ratio,avg_last_3,avg_season
2019,1,Melbourne,ALB,Toro Rosso,14.0,13,13,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,,5.278,58,3,14,2,2,2,2,1,2,19.0,23,,,,,,,,,0.17,2,0.0,0,7.0,THA,0.0,,1.0,0.0,0.0,1.0,13.705714285714285,13.705714285714285
2019,1,Melbourne,BOT,Mercedes,1.0,2,2,0,0.0,0.0,0.0,0,0,0,1,0,0,0,1,Mercedes,5.278,58,3,14,2,2,2,2,1,2,19.0,30,2.85,,,,,,,8.0,8.5,3,0.0,1,7.0,FIN,0.0,,18.0,1.3888888117283993,0.8708283254976574,1.0,8.0,8.0
2019,1,Melbourne,GAS,Red Bull Racing,11.0,17,17,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,Honda,5.278,58,3,14,2,2,2,2,1,2,19.0,23,2.698,,,,,,,46.93,1.4,3,0.0,0,6.0,FRA,0.0,,15.0,0.0,0.0,1.0,20.0,20.0
2019,1,Melbourne,GIO,Sauber,15.0,14,14,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,Ferrari,5.278,58,3,14,2,2,2,2,1,2,19.0,26,3.767,,,,,,,,0.23,1,0.0,0,7.0,ITA,0.0,,4.0,0.0,0.0,1.0,13.705714285714285,13.705714285714285
2019,1,Melbourne,GRO,Haas F1 Team,35.0,6,6,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,Ferrari,5.278,58,3,14,2,2,2,2,1,2,19.0,33,3.169,,,,,,,32.5,1.8,1,0.0,0,7.0,FRA,0.0,,8.0,0.0,0.0,1.0,20.0,20.0
2019,1,Melbourne,HAM,Mercedes,2.0,1,1,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,Mercedes,5.278,58,3,14,2,2,2,2,1,2,19.0,34,2.85,,,,,,,2.0,57.0,3,0.0,1,10.0,GBR,0.0,,25.0,0.7199999712000011,0.5423242740811761,1.0,2.0,2.0
2019,1,Melbourne,HUL,Renault,7.0,11,11,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,Renault,5.278,58,3,14,2,2,2,2,1,2,19.0,32,3.05,,,,,,,7.0,4.5,2,0.0,1,6.0,GER,0.0,,0.0,6000000.0,15.607270193858982,1.0,7.0,7.0
2019,1,Melbourne,KUB,Williams,17.0,20,20,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,Mercedes,5.278,58,3,14,2,2,2,2,1,2,19.0,35,2.893,,,,,,,,0.57,1,0.0,0,,POL,0.0,,0.0,1.0,0.6931471805599453,1.0,13.705714285714285,13.705714285714285
2019,1,Melbourne,KVY,Toro Rosso,10.0,15,15,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,,5.278,58,3,14,2,2,2,2,1,2,19.0,25,,,,,,,,,0.3,2,0.0,0,7.0,RUS,0.0,,0.0,1000000.0,13.815511557963774,1.0,13.705714285714285,13.705714285714285
2019,1,Melbourne,LEC,Ferrari,5.0,5,5,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,Ferrari,5.278,58,3,14,2,2,2,2,1,2,19.0,22,3.23,,,,,,,13.0,3.5,3,0.0,1,8.0,MON,0.0,,12.0,0.8333332638888947,0.6061357656915302,1.0,13.0,13.0
