Year,Round,Place,Driver,Team,Result,Start_Position,Q,Sprint,P1,P2,P3
2023,1,Sakhir,VER,Red Bull Racing,1,1,1,0,3,2,2
2023,1,Sakhir,PER,Red Bull Racing,2,2,2,0,1,3,3
2023,1,Sakhir,ALO,Aston Martin,3,5,5,0,2,1,1
2023,1,Sakhir,SAI,Ferrari,4,4,4,0,20,14,8
2023,1,Sakhir,HAM,Mercedes,5,7,7,0,10,8,4
2023,1,Sakhir,STR,Aston Martin,6,8,8,0,6,6,7
2023,1,Sakhir,RUS,Mercedes,7,6,6,0,11,13,6
2023,1,Sakhir,BOT,Alfa Romeo,8,12,12,0,9,12,17
2023,1,Sakhir,GAS,Alpine,9,20,20,0,17,7,10
2023,1,Sakhir,ALB,Williams,10,15,15,0,19,17,19
2023,1,Sakhir,TSU,AlphaTauri,11,14,14,0,13,18,16
2023,1,Sakhir,SAR,Williams,12,16,16,0,18,20,18
2023,1,Sakhir,MAG,Haas F1 Team,13,17,17,0,7,16,14
2023,1,Sakhir,DEV,AlphaTauri,14,19,19,0,16,19,20
2023,1,Sakhir,HUL,Haas F1 Team,15,10,10,0,14,5,15
2023,1,Sakhir,ZHO,Alfa Romeo,16,13,13,0,8,10,12
2023,1,Sakhir,NOR,McLaren,17,11,11,0,4,9,13
2023,1,Sakhir,OCO,Alpine,18,9,9,0,15,11,11
2023,1,Sakhir,LEC,Ferrari,19,3,3,0,5,4,5
2023,1,Sakhir,PIA,McLaren,20,18,18,0,12,15,9
2023,2,Jeddah,PER,Red Bull Racing,1,1,1,0,2,3,2
2023,2,Jeddah,VER,Red Bull Racing,2,15,15,0,1,1,1
2023,2,Jeddah,ALO,Aston Martin,3,2,3,0,3,2,3
2023,2,Jeddah,RUS,Mercedes,4,3,4,0,5,5,11
2023,2,Jeddah,HAM,Mercedes,5,7,8,0,6,11,5
2023,2,Jeddah,SAI,Ferrari,6,4,5,0,7,10,10
2023,2,Jeddah,LEC,Ferrari,7,12,2,0,11,9,6
2023,2,Jeddah,OCO,Alpine,8,6,7,0,12,4,14
2023,2,Jeddah,GAS,Alpine,9,9,10,0,8,6,9
2023,2,Jeddah,MAG,Haas F1 Team,10,13,13,0,16,15,17
2023,2,Jeddah,TSU,AlphaTauri,11,16,16,0,10,13,19
2023,2,Jeddah,HUL,Haas F1 Team,12,10,11,0,15,8,13
2023,2,Jeddah,ZHO,Alfa Romeo,13,11,12,0,19,16,12
2023,2,Jeddah,DEV,AlphaTauri,14,18,18,0,13,17,0
2023,2,Jeddah,PIA,McLaren,15,8,9,0,14,19,8
2023,2,Jeddah,SAR,Williams,16,20,20,0,17,18,16
