Year,Round,Place,Driver,Team,Result,Start_Position,Q,Sprint,P1,P2,P3,Is_dsq,Is_mechanical,Is_accident,Is_finished,P1_missing,P2_missing,P3_missing,FastestLap,Engine,CircleLength,Quantity_of_circles,Quantity_of_drs,Quantity_of_turns,Tire_wear,Speed_of_turns,Downforce,Brake_load,Streets_or_not,Speed_of_track,PitStop_losing_time,Age,Average_pit_stop,AirTemp,TrackTemp,Humidity,Rainfall,WindSpeed,Pressure,Result_last_year,Salary,Team_financial_power,Regulation_Impact,Factorys_or_not,Strengh_of_first_partners,Driver_nationalitie,Points_before_race,Championship_position_before,teammate_points,points_ratio,points_ratio_log,avg_points_ratio,avg_last_3,avg_season
2021,1,Sakhir,ALO,Alpine,19.0,9,9,0,16.0,15.0,15.0,0,0,0,1,0,0,0,0,Renault,5.412,57,3,15,3,2,2,3,0,2,20.0,40,3.15,20.5,27.627819548872186,54.6,False,0.9,1014.9,,20.0,2,0.0,1,8.0,ESP,0.0,,,,,1.0,12.611555555555556,13.900666666666666
2021,1,Sakhir,BOT,Mercedes,3.0,3,3,0,2.0,5.0,4.0,0,0,0,1,0,0,0,1,Mercedes,5.412,57,3,15,3,2,2,3,0,2,20.0,32,3.35,20.5,27.627819548872186,54.6,False,0.9,1014.9,8.0,10.0,3,0.0,1,7.0,FIN,0.0,,25.0,0.599999976000001,0.47000361424573606,1.0,8.0,8.0
2021,1,Sakhir,GAS,Racing Bulls,17.0,5,5,0,7.0,9.0,3.0,0,0,0,1,0,0,0,0,Honda,5.412,57,3,15,3,2,2,3,0,2,20.0,25,3.25,20.5,27.627819548872186,54.6,False,0.9,1014.9,6.0,4.0,2,0.0,0,6.0,FRA,0.0,,,,,1.0,6.0,6.0
2021,1,Sakhir,GAS,Racing Bulls,17.0,5,5,0,7.0,9.0,3.0,0,0,0,1,0,0,0,0,Honda,5.412,57,3,15,3,2,2,3,0,2,20.0,25,3.25,20.5,27.627819548872186,54.6,False,0.9,1014.9,11.0,4.0,2,0.0,0,6.0,FRA,0.0,8.0,,,,1.0,14.0,14.0
2021,1,Sakhir,GIO,Sauber,12.0,12,12,0,10.0,13.0,12.0,0,0,0,1,0,0,0,0,Ferrari,5.412,57,3,15,3,2,2,3,0,2,20.0,28,4.0,20.5,27.627819548872186,54.6,False,0.9,1014.9,16.0,0.5,1,0.0,0,7.0,ITA,0.0,,,,,1.0,16.0,16.0
2021,1,Sakhir,GIO,Sauber,12.0,12,12,0,10.0,13.0,12.0,0,0,0,1,0,0,0,0,Ferrari,5.412,57,3,15,3,2,2,3,0,2,20.0,28,4.0,20.5,27.627819548872186,54.6,False,0.9,1014.9,13.0,0.5,1,0.0,0,7.0,ITA,0.0,8.0,,,,1.0,12.5,12.5
2021,1,Sakhir,HAM,Mercedes,1.0,2,2,0,4.0,3.0,2.0,0,0,0,1,0,0,0,0,Mercedes,5.412,57,3,15,3,2,2,3,0,2,20.0,36,3.35,20.5,27.627819548872186,54.6,False,0.9,1014.9,1.0,30.0,3,0.0,1,10.0,GBR,0.0,,15.0,1.666666555555563,0.9808292113450615,1.0,1.0,1.0
2021,1,Sakhir,LAT,Williams,18.0,17,17,0,18.0,19.0,20.0,0,0,0,1,0,0,0,0,Mercedes,5.412,57,3,15,3,2,2,3,0,2,20.0,26,3.65,20.5,27.627819548872186,54.6,False,0.9,1014.9,14.0,0.75,1,0.0,0,6.0,CAN,0.0,,,,,1.0,14.0,14.0
2021,1,Sakhir,LAT,Williams,18.0,17,17,0,18.0,19.0,20.0,0,0,0,1,0,0,0,0,Mercedes,5.412,57,3,15,3,2,2,3,0,2,20.0,26,3.65,20.5,27.627819548872186,54.6,False,0.9,1014.9,28.05,0.75,1,0.0,0,6.0,CAN,0.0,8.0,,,,1.0,19.0,19.0
2021,1,Sakhir,LEC,Ferrari,6.0,4,4,0,5.0,12.0,11.0,0,0,0,1,0,0,0,0,Ferrari,5.412,57,3,15,3,2,2,3,0,2,20.0,24,3.2,20.5,27.627819548872186,54.6,False,0.9,1014.9,10.0,12.0,3,0.0,1,8.0,MON,0.0,,,,,1.0,10.0,10.0
2021,1,Sakhir,LEC,Ferrari,6.0,4,4,0,5.0,12.0,11.0,0,0,0,1,0,0,0,0,Ferrari,5.412,57,3,15,3,2,2,3,0,2,20.0,24,3.2,20.5,27.627819548872186,54.6,False,0.9,1014.9,50.0,12.0,3,0.0,1,8.0,MON,8.0,4.0,,,,1.0,13.0,13.0
2021,1,Sakhir,MAZ,Haas F1 Team,20.0,19,20,0,20.0,20.0,19.0,0,0,0,1,0,0,0,0,Ferrari,5.412,57,3,15,3,2,2,3,0,2,20.0,22,4.2,20.5,27.627819548872186,54.6,False,0.9,1014.9,,0.75,1,0.0,0,2.0,RUS,0.0,,0.0,1.0,0.6931471805599453,1.0,12.611555555555556,13.900666666666666
2021,1,Sakhir,MSC,Haas F1 Team,16.0,18,19,0,19.0,18.0,18.0,0,0,0,1,0,0,0,0,Ferrari,5.412,57,3,15,3,2,2,3,0,2,20.0,22,4.2,20.5,27.627819548872186,54.6,False,0.9,1014.9,,0.75,1,0.0,0,4.0,GER,0.0,,0.0,1.0,0.6931471805599453,1.0,12.611555555555556,13.900666666666666
2021,1,Sakhir,NOR,McLaren,4.0,7,7,0,3.0,2.0,16.0,0,0,0,1,0,0,0,0,Mercedes,5.412,57,3,15,3,2,2,3,0,2,20.0,22,3.45,20.5,27.627819548872186,54.6,False,0.9,1014.9,4.0,3.5,2,0.0,0,6.0,GBR,0.0,,,,,1.0,4.0,4.0
2021,1,Sakhir,NOR,McLaren,4.0,7,7,0,3.0,2.0,16.0,0,0,0,1,0,0,0,0,Mercedes,5.412,57,3,15,3,2,2,3,0,2,20.0,22,3.45,20.5,27.627819548872186,54.6,False,0.9,1014.9,10.0,3.5,2,0.0,0,6.0,GBR,12.0,2.0,,,,1.0,7.0,7.0
2021,1,Sakhir,OCO,Alpine,13.0,16,16,0,15.0,11.0,8.0,0,0,0,1,0,0,0,0,Renault,5.412,57,3,15,3,2,2,3,0,2,20.0,25,3.15,20.5,27.627819548872186,54.6,False,0.9,1014.9,9.0,5.0,2,0.0,1,7.0,FRA,0.0,,,,,1.0,9.0,9.0
2021,1,Sakhir,OCO,Alpine,13.0,16,16,0,15.0,11.0,8.0,0,0,0,1,0,0,0,0,Renault,5.412,57,3,15,3,2,2,3,0,2,20.0,25,3.15,20.5,27.627819548872186,54.6,False,0.9,1014.9,2.0,5.0,2,0.0,1,7.0,FRA,0.0,8.0,,,,1.0,7.5,7.5
2021,1,Sakhir,PER,Red Bull Racing,5.0,0,11,0,6.0,10.0,5.0,0,0,0,1,0,0,0,0,Honda,5.412,57,3,15,3,2,2,3,0,2,20.0,31,3.82,20.5,27.627819548872186,54.6,False,0.9,1014.9,18.0,8.0,3,0.0,0,6.0,MEX,0.0,,,,,1.0,18.0,18.0
2021,1,Sakhir,PER,Red Bull Racing,5.0,0,11,0,6.0,10.0,5.0,0,0,0,1,0,0,0,0,Honda,5.412,57,3,15,3,2,2,3,0,2,20.0,31,3.82,20.5,27.627819548872186,54.6,False,0.9,1014.9,1.0,8.0,3,0.0,0,6.0,MEX,10.0,3.0,,,,1.0,3.0,3.0
2021,1,Sakhir,RAI,Sauber,11.0,14,14,0,11.0,16.0,7.0,0,0,0,1,0,0,0,0,Ferrari,5.412,57,3,15,3,2,2,3,0,2,20.0,42,4.0,20.5,27.627819548872186,54.6,False,0.9,1014.9,15.0,10.0,1,0.0,0,8.0,FIN,0.0,,,,,1.0,15.0,15.0
2021,1,Sakhir,RAI,Sauber,11.0,14,14,0,11.0,16.0,7.0,0,0,0,1,0,0,0,0,Ferrari,5.412,57,3,15,3,2,2,3,0,2,20.0,42,4.0,20.5,27.627819548872186,54.6,False,0.9,1014.9,14.0,10.0,1,0.0,0,8.0,FIN,0.0,8.0,,,,1.0,12.5,12.5
2021,1,Sakhir,RIC,McLaren,7.0,6,6,0,9.0,6.0,10.0,0,0,0,1,0,0,0,0,Mercedes,5.412,57,3,15,3,2,2,3,0,2,20.0,32,3.45,20.5,27.627819548872186,54.6,False,0.9,1014.9,7.0,15.0,2,0.0,0,6.0,AUS,0.0,,,,,1.0,7.0,7.0
2021,1,Sakhir,RIC,McLaren,7.0,6,6,0,9.0,6.0,10.0,0,0,0,1,0,0,0,0,Mercedes,5.412,57,3,15,3,2,2,3,0,2,20.0,32,3.45,20.5,27.627819548872186,54.6,False,0.9,1014.9,5.0,15.0,2,0.0,0,6.0,AUS,6.0,5.0,,,,1.0,6.0,6.0
2021,1,Sakhir,RUS,Williams,14.0,15,15,0,17.0,17.0,17.0,0,0,0,1,0,0,0,0,Mercedes,5.412,57,3,15,3,2,2,3,0,2,20.0,23,3.65,20.5,27.627819548872186,54.6,False,0.9,1014.9,12.0,2.0,1,0.0,0,8.0,GBR,0.0,,,,,1.0,12.0,12.0
2021,1,Sakhir,RUS,Williams,14.0,15,15,0,17.0,17.0,17.0,0,0,0,1,0,0,0,0,Mercedes,5.412,57,3,15,3,2,2,3,0,2,20.0,23,3.65,20.5,27.627819548872186,54.6,False,0.9,1014.9,9.0,2.0,1,0.0,0,8.0,GBR,0.0,8.0,,,,1.0,11.5,11.5
2021,1,Sakhir,SAI,Ferrari,8.0,8,8,0,8.0,4.0,6.0,0,0,0,1,0,0,0,0,Ferrari,5.412,57,3,15,3,2,2,3,0,2,20.0,27,3.2,20.5,27.627819548872186,54.6,False,0.9,1014.9,5.0,10.0,3,0.0,1,9.0,ESP,0.0,,,,,1.0,5.0,5.0
2021,1,Sakhir,SAI,Ferrari,8.0,8,8,0,8.0,4.0,6.0,0,0,0,1,0,0,0,0,Ferrari,5.412,57,3,15,3,2,2,3,0,2,20.0,27,3.2,20.5,27.627819548872186,54.6,False,0.9,1014.9,4.0,10.0,3,0.0,1,9.0,ESP,4.0,6.0,,,,1.0,6.0,6.0
2021,1,Sakhir,STR,Aston Martin,10.0,10,10,0,13.0,8.0,9.0,0,0,0,1,0,0,0,0,Mercedes,5.412,57,3,15,3,2,2,3,0,2,20.0,23,3.4,20.5,27.627819548872186,54.6,False,0.9,1014.9,19.0,10.0,2,0.0,1,,CAN,0.0,,,,,1.0,19.0,19.0
2021,1,Sakhir,STR,Aston Martin,10.0,10,10,0,13.0,8.0,9.0,0,0,0,1,0,0,0,0,Mercedes,5.412,57,3,15,3,2,2,3,0,2,20.0,23,3.4,20.5,27.627819548872186,54.6,False,0.9,1014.9,48.97,10.0,2,0.0,1,,CAN,1.0,7.0,,,,1.0,15.0,15.0
2021,1,Sakhir,TSU,Racing Bulls,9.0,13,13,0,14.0,7.0,13.0,0,0,0,1,0,0,0,0,Honda,5.412,57,3,15,3,2,2,3,0,2,20.0,21,3.25,20.5,27.627819548872186,54.6,False,0.9,1014.9,,0.75,2,0.0,0,5.0,JPN,0.0,,,,,1.0,12.611555555555556,13.900666666666666
