result_vs_team_avg,redbull_x_vs_team,result_gap_normalized,q_x_team,avg_pit_x_q,Start_Position,temp_humidity_ratio,Salary_encoded,Speed_of_turns,factory_x_reg,Points_before_race,Quantity_of_turns,Engine_Ferrari,tracktemp_x_points_log,rank_x_team,brake_x_speed_track,brake_x_wind,Average_pit_stop,meta_ratio,avg_last_5,Result_last_year,avg_season,super_ratio_1,form_x_difficulty,temp_gap_x_team,adaptation_score,consistency_vs_avg,points_to_leader,tracktemp_x_salary,brake_x_turns,Q,best_last_3,form_volatility,pitstop_to_speed_ratio,avg_points_ratio,tracktemp_x_start,Year,Round,Driver_encoded,points_ratio_log,Result,Place_encoded,Team_encoded,Salary,Is_finished
0.0,0.0,0.0,122.936,34.397,10,-0.6492436185582484,1.420145903305347,-0.2090162089546269,0.0,0.0,-0.7050777125953442,0,-0.0,11.176,0.0833952175616769,-0.0719772273904223,3.127,0.0,,27.0,20.0,0.0,-0.3865658636116702,2.517401470648472,-0.4005323389966318,,0.0,-14.372869032362331,0.2148803611142657,11,,,-0.6282053337631955,1.0,-4.790956344120777,2018,1,12.832,0.0,5.0,12,11.176,30.0,1
0.0,0.0,0.0,69.07,27.770000000000003,15,-0.6492436185582484,0.4402435315672111,-0.2090162089546269,0.5,0.0,-0.7050777125953442,0,-0.0,6.907,0.0833952175616769,-0.0719772273904223,2.777,0.0,,3.0,3.0,0.0,-0.3865658636116702,1.5558063670158369,2.1922856784175133,,0.0,-4.551408526914738,0.2148803611142657,10,,,-0.6282053337631955,1.0,-7.186434516181166,2018,1,11.586,0.0,8.0,12,6.907,9.5,1
0.0,0.0,0.0,276.726,50.456,17,-0.6492436185582484,-1.5615495743468508,-0.2090162089546269,0.0,0.0,-0.7050777125953442,1,-0.0,16.278,0.0833952175616769,-0.0719772273904223,2.968,0.0,,23.0,20.0,0.0,-0.3865658636116702,3.666630381103777,-1.2834734227316398,,0.0,-0.0718643451618116,0.2148803611142657,17,,,-0.6282053337631955,1.0,-8.14462578500532,2018,1,,0.0,49.74,12,16.278,0.15,0
0.0,0.0,0.0,315.16,60.06,20,-0.6492436185582484,-0.858691634864937,-0.2090162089546269,0.0,0.0,-0.7050777125953442,0,-0.0,15.758,0.0833952175616769,-0.0719772273904223,3.003,0.0,,,13.125,0.0,-0.3865658636116702,3.549500033507392,0.1210514138235727,,0.0,-0.7186434516181166,0.2148803611142657,20,,,-0.6282053337631955,1.0,-9.581912688241554,2018,1,15.106,0.0,46.93,12,15.758,1.5,0
0.0,0.0,0.0,120.862,23.177,6,-0.6492436185582484,-0.1958049580553159,-0.2090162089546269,0.0,0.0,-0.7050777125953442,1,-0.0,17.266,0.0833952175616769,-0.0719772273904223,3.311,0.0,,21.0,20.0,0.0,-0.3865658636116702,3.8891780415369097,-3.696765119236108,,0.0,-2.0122016645307266,0.2148803611142657,7,,,-0.6282053337631955,1.0,-2.8745738064724664,2018,1,,0.0,32.5,12,17.266,4.2,0
-8.0,-55.256,-0.9690932260523046,6.907,2.777,1,-0.6492436185582484,1.87075339732094,-0.2090162089546269,0.5,0.0,-0.7050777125953442,0,-0.0,6.907,0.0833952175616769,-0.0719772273904223,2.777,0.0,,2.0,2.0,-0.0,-0.3865658636116702,1.5558063670158369,2.1922856784175133,,0.0,-23.954781720603886,0.2148803611142657,1,,,-0.6282053337631955,1.0,-0.4790956344120777,2018,1,6.2921,0.0,2.0,12,6.907,50.0,1
-46.93,-739.52294,-5.684943137329332,252.128,48.048,16,-0.6492436185582484,-1.5615495743468508,-0.2090162089546269,0.0,0.0,-0.7050777125953442,0,-0.0,15.758,0.0833952175616769,-0.0719772273904223,3.003,0.0,,,13.125,-0.0,-0.3865658636116702,3.549500033507392,0.1210514138235727,,0.0,-0.0718643451618116,0.2148803611142657,16,,,-0.6282053337631955,1.0,-7.665530150593243,2018,1,,0.0,15.0,12,15.758,0.15,1
0.0,,0.0,,27.784,7,-0.6492436185582484,-0.3266694745344817,-0.2090162089546269,0.5,0.0,-0.7050777125953442,0,-0.0,,0.0833952175616769,-0.0719772273904223,3.473,0.0,,11.0,11.0,0.0,-0.3865658636116702,,0.3,,0.0,-1.676834720442272,0.2148803611142657,8,,,-0.6282053337631955,1.0,-3.353669440884544,2018,1,15.617,0.0,7.0,12,,3.5,1
-49.74,-809.6677199999999,-6.025337132980204,293.004,53.424,18,-0.6492436185582484,-1.5615495743468508,-0.2090162089546269,0.0,0.0,-0.7050777125953442,1,-0.0,16.278,0.0833952175616769,-0.0719772273904223,2.968,0.0,,,13.125,-0.0,-0.3865658636116702,3.666630381103777,-1.2834734227316398,,0.0,-0.0718643451618116,0.2148803611142657,18,,,-0.6282053337631955,1.0,-8.623721419417398,2018,1,10.111,0.0,13.0,12,16.278,0.15,1
-32.5,-561.145,-3.936941230837488,103.596,19.866,5,-0.6492436185582484,-0.2313047231698998,-0.2090162089546269,0.0,0.0,-0.7050777125953442,1,-0.0,17.266,0.0833952175616769,-0.0719772273904223,3.311,0.0,,26.0,20.0,-0.0,-0.3865658636116702,3.8891780415369097,-3.696765119236108,,0.0,-1.9163825376483108,0.2148803611142657,6,,,-0.6282053337631955,1.0,-2.3954781720603884,2018,1,17.197,0.0,33.45,12,17.266,4.0,0
0.0,,0.0,,48.3,14,-0.6492436185582484,-0.6936672913193342,-0.2090162089546269,0.0,0.0,-0.7050777125953442,0,-0.0,,0.0833952175616769,-0.0719772273904223,3.22,0.0,,10.0,10.0,0.0,-0.3865658636116702,,0.0,,0.0,-0.9581912688241554,0.2148803611142657,15,,,-0.6282053337631955,1.0,-6.707338881769088,2018,1,14.985,0.0,12.0,12,,2.0,1
0.0,,0.0,,41.86,12,-0.6492436185582484,-0.433278196409149,-0.2090162089546269,0.0,0.0,-0.7050777125953442,0,-0.0,,0.0833952175616769,-0.0719772273904223,3.22,0.0,,7.0,7.0,0.0,-0.3865658636116702,,0.0,,0.0,-1.4372869032362332,0.2148803611142657,13,,,-0.6282053337631955,1.0,-5.749147612944933,2018,1,10.535,0.0,11.0,12,,3.0,1
0.0,0.0,0.0,20.606,5.68,2,-0.6492436185582484,1.6732059866236726,-0.2090162089546269,0.5,0.0,-0.7050777125953442,1,-0.0,10.303,0.0833952175616769,-0.0719772273904223,2.84,0.0,,4.0,4.0,0.0,-0.3865658636116702,2.3207576370876164,1.5375584982055623,,0.0,-19.163825376483107,0.2148803611142657,2,,,-0.6282053337631955,1.0,-0.9581912688241554,2018,1,,0.0,3.0,12,10.303,40.0,1
0.0,0.0,0.0,45.385,12.76,8,-0.6492436185582484,0.0732457147823588,-0.2090162089546269,0.0,0.0,-0.7050777125953442,0,-0.0,9.077,0.0833952175616769,-0.0719772273904223,2.552,0.0,,24.0,20.0,0.0,-0.3865658636116702,2.044600317562292,0.6034360230515581,,0.0,-2.8745738064724664,0.2148803611142657,5,,,-0.6282053337631955,1.0,-3.8327650752966216,2018,1,13.43,0.0,4.0,12,9.077,6.0,1
0.0,,0.0,,31.257,9,-0.6492436185582484,-0.433278196409149,-0.2090162089546269,0.5,0.0,-0.7050777125953442,0,-0.0,,0.0833952175616769,-0.0719772273904223,3.473,0.0,,8.0,8.0,0.0,-0.3865658636116702,,0.3,,0.0,-1.4372869032362332,0.2148803611142657,9,,,-0.6282053337631955,1.0,-4.311860709708699,2018,1,11.334,0.0,10.0,12,,3.0,1
