Year,Round,Place,Driver,Team,Result,Start_Position,Q,Sprint,P1,P2,P3,Fine,Is_finished,Is_mechanical,Is_accident,Is_dsq,P1_missing,P2_missing,P3_missing,FastestLap
2018,2,Sakhir,VET,Ferrari,1.0,1,1,0,4.0,2.0,5.0,0,1,0,0,0,0,0,0,0
2018,2,Sakhir,BOT,Mercedes,2.0,3,3,0,2.0,3.0,6.0,0,1,0,0,0,0,0,0,1
2018,2,Sakhir,HAM,Mercedes,3.0,9,4,0,5.0,4.0,4.0,1,1,0,0,0,0,0,0,0
2018,2,Sakhir,GAS,Racing Bulls,4.0,5,6,0,7.0,8.0,9.0,0,1,0,0,0,0,0,0,0
2018,2,Sakhir,MAG,Haas F1 Team,5.0,6,7,0,9.0,15.0,15.0,0,1,0,0,0,0,0,0,0
2018,2,Sakhir,HUL,Renault,6.0,7,8,0,10.0,7.0,7.0,0,1,0,0,0,0,0,0,0
2018,2,Sakhir,ALO,McLaren,7.0,13,13,0,11.0,9.0,10.0,0,1,0,0,0,0,0,0,0
2018,2,Sakhir,VAN,McLaren,8.0,14,14,0,13.0,10.0,17.0,0,1,0,0,0,0,0,0,0
2018,2,Sakhir,ERI,Sauber,9.0,17,17,0,17.0,19.0,16.0,0,1,0,0,0,0,0,0,0
2018,2,Sakhir,OCO,Racing Point,10.0,8,9,0,19.0,13.0,13.0,0,1,0,0,0,0,0,0,0
2018,2,Sakhir,SAI,Renault,11.0,10,10,0,8.0,12.0,8.0,0,1,0,0,0,0,0,0,0
2018,2,Sakhir,LEC,Sauber,12.0,19,19,0,12.0,16.0,18.0,0,1,0,0,0,0,0,0,0
2018,2,Sakhir,GRO,Haas F1 Team,13.0,16,16,0,6.0,11.0,12.0,0,1,0,0,0,0,0,0,0
2018,2,Sakhir,STR,Williams,14.0,20,20,0,14.0,17.0,20.0,0,1,0,0,0,0,0,0,0
2018,2,Sakhir,SIR,Williams,15.0,18,18,0,15.0,18.0,19.0,0,1,0,0,0,0,0,0,0
2018,2,Sakhir,PER,Racing Point,16.0,12,12,0,18.0,14.0,14.0,0,1,0,0,0,0,0,0,0
2018,2,Sakhir,HAR,Racing Bulls,17.0,11,11,0,16.0,20.0,11.0,0,1,0,0,0,0,0,0,0
2018,2,Sakhir,RAI,Ferrari,27.72,2,2,0,3.0,1.0,1.0,0,0,1,0,0,0,0,0,0
2018,2,Sakhir,VER,Red Bull Racing,48.42,15,15,0,,5.0,2.0,0,0,1,0,0,1,0,0,0
2018,2,Sakhir,RIC,Red Bull Racing,49.47,4,5,0,1.0,6.0,3.0,0,0,1,0,0,0,0,0,0
2018,3,Shanghai,RIC,Red Bull Racing,1.0,6,6,0,4.0,9.0,15.0,0,1,0,0,0,0,0,0,1
2018,3,Shanghai,BOT,Mercedes,2.0,3,3,0,3.0,3.0,3.0,0,1,0,0,0,0,0,0,0
2018,3,Shanghai,RAI,Ferrari,3.0,2,2,0,2.0,2.0,2.0,0,1,0,0,0,0,0,0,0
