Year,Round,Place,Driver,Team,Result,Start_Position,Q,Sprint,P1,P2,P3,Is_dsq,Is_mechanical,Is_accident,Fine,Is_finished,P1_missing,P2_missing,P3_missing,FastestLap
2023,1,Sakhir,VER,Red Bull Racing,1.0,1,1,0,3.0,2.0,2.0,0,0,0,0,1,0,0,0,0
2023,1,Sakhir,PER,Red Bull Racing,2.0,2,2,0,1.0,3.0,3.0,0,0,0,0,1,0,0,0,0
2023,1,Sakhir,ALO,Aston Martin,3.0,5,5,0,2.0,1.0,1.0,0,0,0,0,1,0,0,0,0
2023,1,Sakhir,SAI,Ferrari,4.0,4,4,0,20.0,14.0,8.0,0,0,0,0,1,0,0,0,0
2023,1,Sakhir,HAM,Mercedes,5.0,7,7,0,10.0,8.0,4.0,0,0,0,0,1,0,0,0,0
2023,1,Sakhir,STR,Aston Martin,6.0,8,8,0,6.0,6.0,7.0,0,0,0,0,1,0,0,0,0
2023,1,Sakhir,RUS,Mercedes,7.0,6,6,0,11.0,13.0,6.0,0,0,0,0,1,0,0,0,0
2023,1,Sakhir,BOT,Sauber,8.0,12,12,0,9.0,12.0,17.0,0,0,0,0,1,0,0,0,0
2023,1,Sakhir,GAS,Alpine,9.0,20,20,0,17.0,7.0,10.0,0,0,0,0,1,0,0,0,0
2023,1,Sakhir,ALB,Williams,10.0,15,15,0,19.0,17.0,19.0,0,0,0,0,1,0,0,0,0
2023,1,Sakhir,TSU,Racing Bulls,11.0,14,14,0,13.0,18.0,16.0,0,0,0,0,1,0,0,0,0
2023,1,Sakhir,SAR,Williams,12.0,16,16,0,18.0,20.0,18.0,0,0,0,0,1,0,0,0,0
2023,1,Sakhir,MAG,Haas F1 Team,13.0,17,17,0,7.0,16.0,14.0,0,0,0,0,1,0,0,0,0
2023,1,Sakhir,DEV,Racing Bulls,14.0,19,19,0,16.0,19.0,20.0,0,0,0,0,1,0,0,0,0
2023,1,Sakhir,HUL,Haas F1 Team,15.0,10,10,0,14.0,5.0,15.0,0,0,0,0,1,0,0,0,0
2023,1,Sakhir,ZHO,Sauber,16.0,13,13,0,8.0,10.0,12.0,0,0,0,0,1,0,0,0,1
2023,1,Sakhir,NOR,McLaren,17.0,11,11,0,4.0,9.0,13.0,0,0,0,0,1,0,0,0,0
2023,1,Sakhir,OCO,Alpine,22.81,9,9,0,15.0,11.0,11.0,0,1,0,0,0,0,0,0,0
2023,1,Sakhir,LEC,Ferrari,26.32,3,3,0,5.0,4.0,5.0,0,1,0,0,0,0,0,0,0
2023,1,Sakhir,PIA,McLaren,43.16,18,18,0,12.0,15.0,9.0,0,1,0,0,0,0,0,0,0
2023,2,Jeddah,PER,Red Bull Racing,1.0,1,1,0,2.0,3.0,2.0,0,0,0,0,1,0,0,0,0
2023,2,Jeddah,VER,Red Bull Racing,2.0,15,15,0,1.0,1.0,1.0,0,0,0,0,1,0,0,0,1
2023,2,Jeddah,ALO,Aston Martin,3.0,2,3,0,3.0,2.0,3.0,0,0,0,0,1,0,0,0,0
2023,2,Jeddah,RUS,Mercedes,4.0,3,4,0,5.0,5.0,11.0,0,0,0,0,1,0,0,0,0
2023,2,Jeddah,HAM,Mercedes,5.0,7,8,0,6.0,11.0,5.0,0,0,0,0,1,0,0,0,0
2023,2,Jeddah,SAI,Ferrari,6.0,4,5,0,7.0,10.0,10.0,0,0,0,0,1,0,0,0,0
2023,2,Jeddah,LEC,Ferrari,7.0,12,2,0,11.0,9.0,6.0,0,0,0,0,1,0,0,0,0
2023,2,Jeddah,OCO,Alpine,8.0,6,7,0,12.0,4.0,14.0,0,0,0,0,1,0,0,0,0
2023,2,Jeddah,GAS,Alpine,9.0,9,10,0,8.0,6.0,9.0,0,0,0,0,1,0,0,0,0
2023,2,Jeddah,MAG,Haas F1 Team,10.0,13,13,0,16.0,15.0,17.0,0,0,0,0,1,0,0,0,0
2023,2,Jeddah,TSU,Racing Bulls,11.0,16,16,0,10.0,13.0,19.0,0,0,0,0,1,0,0,0,0
2023,2,Jeddah,HUL,Haas F1 Team,12.0,10,11,0,15.0,8.0,13.0,0,0,0,0,1,0,0,0,0
2023,2,Jeddah,ZHO,Sauber,13.0,11,12,0,19.0,16.0,12.0,0,0,0,0,1,0,0,0,0
2023,2,Jeddah,DEV,Racing Bulls,14.0,18,18,0,13.0,17.0,,0,0,0,0,1,0,0,1,0
2023,2,Jeddah,PIA,McLaren,15.0,8,9,0,14.0,19.0,8.0,0,0,0,0,1,0,0,0,0
