Year,Round,Place,Driver,Team,Result,Start_Position,Q,Sprint,P1,P2,P3,Is_accident,Is_finished,Is_mechanical,Is_dsq,P1_missing,P2_missing,P3_missing,FastestLap
2024,1,Sakhir,VER,Red Bull Racing,1.0,1,1,0,6.0,6.0,3.0,0.0,1,0.0,0.0,0,0,0,1
2024,1,Sakhir,PER,Red Bull Racing,2.0,5,5,0,12.0,10.0,8.0,0.0,1,0.0,0.0,0,0,0,0
2024,1,Sakhir,SAI,Ferrari,3.0,4,4,0,11.0,4.0,1.0,0.0,1,0.0,0.0,0,0,0,0
2024,1,Sakhir,LEC,Ferrari,4.0,2,2,0,8.0,9.0,4.0,0.0,1,0.0,0.0,0,0,0,0
2024,1,Sakhir,RUS,Mercedes,5.0,3,3,0,7.0,2.0,6.0,0.0,1,0.0,0.0,0,0,0,0
2024,1,Sakhir,NOR,McLaren,6.0,7,7,0,2.0,20.0,5.0,0.0,1,0.0,0.0,0,0,0,0
2024,1,Sakhir,HAM,Mercedes,7.0,9,9,0,9.0,1.0,12.0,0.0,1,0.0,0.0,0,0,0,0
2024,1,Sakhir,PIA,McLaren,8.0,8,8,0,3.0,5.0,7.0,0.0,1,0.0,0.0,0,0,0,0
2024,1,Sakhir,ALO,Aston Martin,9.0,6,6,0,5.0,3.0,2.0,0.0,1,0.0,0.0,0,0,0,0
2024,1,Sakhir,STR,Aston Martin,10.0,12,12,0,14.0,8.0,10.0,0.0,1,0.0,0.0,0,0,0,0
2024,1,Sakhir,ZHO,Sauber,11.0,17,17,0,15.0,19.0,16.0,0.0,1,0.0,0.0,0,0,0,0
2024,1,Sakhir,MAG,Haas F1 Team,12.0,15,15,0,19.0,14.0,14.0,0.0,1,0.0,0.0,0,0,0,0
2024,1,Sakhir,RIC,Racing Bulls,13.0,14,14,0,1.0,12.0,11.0,0.0,1,0.0,0.0,0,0,0,0
2024,1,Sakhir,TSU,Racing Bulls,14.0,11,11,0,4.0,15.0,13.0,0.0,1,0.0,0.0,0,0,0,0
2024,1,Sakhir,ALB,Williams,15.0,13,13,0,13.0,11.0,15.0,0.0,1,0.0,0.0,0,0,0,0
2024,1,Sakhir,HUL,Haas F1 Team,16.0,10,10,0,20.0,7.0,9.0,0.0,1,0.0,0.0,0,0,0,0
2024,1,Sakhir,OCO,Alpine,17.0,19,19,0,17.0,18.0,18.0,0.0,1,0.0,0.0,0,0,0,0
2024,1,Sakhir,GAS,Alpine,18.0,20,20,0,18.0,16.0,20.0,0.0,1,0.0,0.0,0,0,0,0
2024,1,Sakhir,BOT,Sauber,19.0,16,16,0,10.0,17.0,17.0,0.0,1,0.0,0.0,0,0,0,0
2024,1,Sakhir,SAR,Williams,20.0,18,18,0,16.0,13.0,19.0,0.0,1,0.0,0.0,0,0,0,0
2024,2,Jeddah,VER,Red Bull Racing,1.0,1,1,0,1.0,3.0,1.0,0.0,1,0.0,0.0,0,0,0,0
2024,2,Jeddah,PER,Red Bull Racing,2.0,3,3,0,3.0,5.0,3.0,0.0,1,0.0,0.0,0,0,0,0
2024,2,Jeddah,LEC,Ferrari,3.0,2,2,0,5.0,4.0,2.0,0.0,1,0.0,0.0,0,0,0,1
2024,2,Jeddah,PIA,McLaren,4.0,5,5,0,15.0,10.0,8.0,0.0,1,0.0,0.0,0,0,0,0
2024,2,Jeddah,ALO,Aston Martin,5.0,4,4,0,2.0,1.0,6.0,0.0,1,0.0,0.0,0,0,0,0
2024,2,Jeddah,RUS,Mercedes,6.0,7,7,0,4.0,2.0,4.0,0.0,1,0.0,0.0,0,0,0,0
2024,2,Jeddah,BEA,Ferrari,7.0,11,11,0,,,10.0,0.0,1,0.0,0.0,1,1,0,0
2024,2,Jeddah,NOR,McLaren,8.0,6,6,0,7.0,12.0,5.0,0.0,1,0.0,0.0,0,0,0,0
2024,2,Jeddah,HAM,Mercedes,9.0,8,8,0,8.0,8.0,9.0,0.0,1,0.0,0.0,0,0,0,0
2024,2,Jeddah,HUL,Haas F1 Team,10.0,15,15,0,19.0,18.0,15.0,0.0,1,0.0,0.0,0,0,0,0
2024,2,Jeddah,ALB,Williams,11.0,12,12,0,10.0,14.0,17.0,0.0,1,0.0,0.0,0,0,0,0
2024,2,Jeddah,MAG,Haas F1 Team,12.0,13,13,0,20.0,17.0,11.0,0.0,1,0.0,0.0,0,0,0,0
2024,2,Jeddah,OCO,Alpine,13.0,17,17,0,13.0,15.0,14.0,0.0,1,0.0,0.0,0,0,0,0
2024,2,Jeddah,SAR,Williams,14.0,19,19,0,14.0,16.0,,0.0,1,0.0,0.0,0,0,1,0
2024,2,Jeddah,TSU,Racing Bulls,15.0,9,9,0,16.0,11.0,13.0,0.0,1,0.0,0.0,0,0,0,0
2024,2,Jeddah,RIC,Racing Bulls,16.0,14,14,0,12.0,19.0,16.0,0.0,1,0.0,0.0,0,0,0,0
